,Image,Dice_reg,K,Model
55,145698282304700116300882843111967537977_f6qhtv.png,0.9138740935789021,7,pretrained_finetune_from_0_with_KL
56,145698282304700116300882843111967537977_f6qhtv.png,0.9245430430734827,7,pretrained_finetune_from_0_no_KL
57,145698282304700116300882843111967537977_f6qhtv.png,0.9232084958413609,9,pretrained_frozen
58,145698282304700116300882843111967537977_f6qhtv.png,0.9138740935789021,9,pretrained_finetune_from_0_with_KL
59,145698282304700116300882843111967537977_f6qhtv.png,0.9245430430734827,9,pretrained_finetune_from_0_no_KL
60,127776313362848303557368271134995152837_apvrf1.png,0.8146595706979671,1,pretrained_frozen
61,127776313362848303557368271134995152837_apvrf1.png,0.8109405960303436,1,pretrained_finetune_from_0_with_KL
62,127776313362848303557368271134995152837_apvrf1.png,0.7975138019648588,1,pretrained_finetune_from_0_no_KL
63,127776313362848303557368271134995152837_apvrf1.png,0.8720187995744509,3,pretrained_frozen
64,127776313362848303557368271134995152837_apvrf1.png,0.855650515707863,3,pretrained_finetune_from_0_with_KL
65,127776313362848303557368271134995152837_apvrf1.png,0.8752579506014079,3,pretrained_finetune_from_0_no_KL
66,127776313362848303557368271134995152837_apvrf1.png,0.8720187995744509,5,pretrained_frozen
67,127776313362848303557368271134995152837_apvrf1.png,0.855650515707863,5,pretrained_finetune_from_0_with_KL
68,127776313362848303557368271134995152837_apvrf1.png,0.8752579506014079,5,pretrained_finetune_from_0_no_KL
69,127776313362848303557368271134995152837_apvrf1.png,0.8720187995744509,7,pretrained_frozen
70,127776313362848303557368271134995152837_apvrf1.png,0.855650515707863,7,pretrained_finetune_from_0_with_KL
71,127776313362848303557368271134995152837_apvrf1.png,0.8752579506014079,7,pretrained_finetune_from_0_no_KL
72,127776313362848303557368271134995152837_apvrf1.png,0.8734687409571317,9,pretrained_frozen
73,127776313362848303557368271134995152837_apvrf1.png,0.855650515707863,9,pretrained_finetune_from_0_with_KL
74,127776313362848303557368271134995152837_apvrf1.png,0.8752579506014079,9,pretrained_finetune_from_0_no_KL
75,103416378058309979932405295235813040436_1g2pmw.png,0.8025852290375797,1,pretrained_frozen
76,103416378058309979932405295235813040436_1g2pmw.png,0.8110369842002452,1,pretrained_finetune_from_0_with_KL
77,103416378058309979932405295235813040436_1g2pmw.png,0.8164212128600629,1,pretrained_finetune_from_0_no_KL
78,103416378058309979932405295235813040436_1g2pmw.png,0.8296475473212077,3,pretrained_frozen
79,103416378058309979932405295235813040436_1g2pmw.png,0.8415837274184294,3,pretrained_finetune_from_0_with_KL
80,103416378058309979932405295235813040436_1g2pmw.png,0.8412326666778993,3,pretrained_finetune_from_0_no_KL
