,Dice_Real,Dice_RCA_Max,Dice_RCA_Mean,L_Dice_Real,L_Dice_RCA_Max,L_Dice_RCA_Mean,H_Dice_Real,H_Dice_RCA_Max,H_Dice_RCA_Mean
0,0.6490502628024344,0.6405342425601726,0.6166919383511418,0.7605721023744284,0.7472408464636929,0.7190512152687041,0.5375284232304405,0.5564408616671688,0.5143326614335796
1,0.8115824864187275,0.8180669980574937,0.7833784807813092,0.9128447003674874,0.8691790160815167,0.8532715771204001,0.7103202724699678,0.7669549800334708,0.7134853844422183
2,0.7258913201445785,0.7182066655237824,0.6858286299493017,0.7981540129832739,0.7850295586664903,0.7649011665693345,0.653628627305883,0.6590283474614894,0.6067560933292687
3,0.8501189916489441,0.8466461864470489,0.8243975239974072,0.904450082443931,0.8744018449784929,0.858051067852015,0.7957879008539572,0.818890527915605,0.7907439801427993
4,0.7694051267269428,0.76254295051187,0.7356310907954663,0.8360953653744935,0.8200527067533042,0.8025251290506311,0.7027148880793922,0.7092220346785331,0.6687370525403014
5,0.7762913897786716,0.7887269393618803,0.768605395922936,0.7776314061525329,0.84518776298103,0.7824218167170675,0.7749513734048105,0.779294348543646,0.7547889751288046
6,0.8345328080798649,0.8253946957916953,0.7980870815517578,0.8918593943646044,0.8630731339758657,0.8465660045200989,0.7772062217951254,0.7877162576075248,0.7496081585834165
7,0.8068557096572876,0.7917137695186334,0.7679656776414913,0.8871674989279736,0.8592988310840866,0.8423984650464021,0.7265439203866015,0.7241287079531801,0.6935328902365805
8,0.8476169151466397,0.8397563792718903,0.8211507400844511,0.9018251456730152,0.8801062678252556,0.8591118905259659,0.7934086846202641,0.7994064907185251,0.7831895896429364
9,0.8353322352720542,0.8260388706180478,0.8133952639214914,0.8994977568024238,0.871748549173761,0.8552297022404176,0.7711667137416848,0.7850230366271853,0.7715608256025656
10,0.5691632635664133,0.576500288704606,0.553500695953363,0.746507971293556,0.7296855484534568,0.708802091674405,0.39181855583927067,0.42871462833297447,0.3981993002323212
11,0.7287468339486605,0.7410648967829728,0.7154784697553552,0.9041901334392746,0.8574905863047108,0.8367424920926174,0.5533035344580463,0.6273531988136036,0.5942144474180932
12,0.6874590337560611,0.6878713002456533,0.6433472793856513,0.8480984505893692,0.8289475563596543,0.79938043399215,0.5268196169227531,0.5467950441316523,0.48731412477915254
13,0.7747488316018145,0.7596151054108936,0.7176738359421059,0.9011705917734697,0.8609927753783059,0.840188371009394,0.6483270714301594,0.6582374354434813,0.5951593008748177
