,Dice_Real,Dice_RCA_Max,Dice_RCA_Mean,L_Dice_Real,L_Dice_RCA_Max,L_Dice_RCA_Mean,H_Dice_Real,H_Dice_RCA_Max,H_Dice_RCA_Mean
0,0.6490320811404513,0.6466286869901059,0.6178686484488571,0.7605609906621734,0.7658382218664399,0.7248895709914794,0.5375031716187292,0.5500189095082224,0.5108477259062348
1,0.8115875846371173,0.8159585796588779,0.7794732746069363,0.9128385172396332,0.8779713996773897,0.8543854003566803,0.7103366520346015,0.7598636649457904,0.7045611488571921
2,0.7258632759412231,0.7201001609636064,0.6861472518726097,0.7981330368832391,0.7994632705751271,0.761828226544555,0.6535935149992071,0.6653752255599193,0.6104662772006646
3,0.8501395535012184,0.850770652294109,0.8216748267597511,0.9044685294201023,0.8790394249831538,0.8565935332358082,0.7958105775823344,0.8288528011478511,0.7867561202836939
4,0.7694081583029213,0.765893432642166,0.7369867017972286,0.836092844332389,0.8300041392285983,0.7990436403214375,0.7027234722734538,0.7181908711365028,0.6749297632730198
5,0.7762865194671262,0.8008886257762513,0.7714033816802813,0.777625936185493,0.8682268703450022,0.7851490752468037,0.7749471027487594,0.7945714881490235,0.757657688113759
6,0.8345309978726634,0.8298773019141761,0.7984504922779341,0.8918573360597095,0.8732927955174938,0.8447041022261115,0.7772046596856172,0.7994351502379451,0.7521968823297567
7,0.80686936047711,0.7978160366168505,0.7696943846855641,0.8871777255719269,0.8733752593652087,0.8417847629067307,0.7265609953822932,0.7364293460109596,0.6976040064643974
8,0.8476165947803543,0.8488835192790664,0.8201904736987771,0.9018167211208135,0.893773780189702,0.8591423537012771,0.7934164684398952,0.8153844125827727,0.7812385936962771
9,0.8353469053166891,0.8340335418425189,0.8122332040566267,0.8995128999930081,0.8883873344454758,0.8542216833042382,0.7711809106403701,0.798201181313764,0.7702447248090154
10,0.5691654094685279,0.5828898380273351,0.5551700207752568,0.7464925382661203,0.7348861777154073,0.7163800189858006,0.3918382806709354,0.43626715462031107,0.3939600225647128
11,0.7287279279539753,0.7471329622204239,0.7151498358078546,0.904188916023042,0.8631585399491251,0.8423634349597743,0.5532669398849086,0.6336470552343761,0.5879362366559352
12,0.6874576278739324,0.6960726689124969,0.6464099656848585,0.8480823321631816,0.8340709032182745,0.804263567189061,0.5268329235846833,0.5580744346067192,0.4885563641806561
